Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,
Global,World,404910528,5194.796734004569,17407683,223.33174501945004,2473605,5783776,74.20291298282571,73174,0.9387853116381569,12788,
United States of America,Americas,76649746,23156.837,1535102,463.773,201679,905957,273.701,17239,5.208,3768
India,South-East Asia,42536137,3082.319,583425,42.277,58077,507177,36.752,7122,0.516,657
Brazil,Americas,26955434,12681.364,1162322,546.822,178814,635074,298.775,6114,2.876,1264
France,Europe,20772543,31938.419,1184984,1821.949,153009,131355,201.962,2365,3.636,370
The United Kingdom,Europe,18162203,26753.973,463541,682.823,66638,159158,234.449,1429,2.105,206
Russian Federation,Europe,13731794,9409.562,1279029,876.441,203949,338813,232.168,4774,3.271,722
Turkey,Europe,12652385,15001.808,712581,844.9,98602,89741,106.405,1677,1.988,264
Germany,Europe,12009712,14440.528,1338110,1608.949,240172,119679,143.903,1175,1.413,226
Italy,Europe,11923631,19992.176,574930,963.977,76195,150221,251.873,2487,4.17,325
Spain,Europe,10555196,22300.049,267882,565.956,23305,95606,201.988,760,1.606,25
Argentina,Americas,8700437,19250.554,185152,409.667,52362,123707,273.714,1555,3.441,480
Iran (Islamic Republic of),Eastern Mediterranean,6730508,8013.182,246709,293.726,33581,133294,158.697,670,0.798,130
Colombia,Americas,5994301,11780.583,77476,152.263,8785,136404,268.074,1623,3.19,207
Netherlands,Europe,5523354,31729.582,850501,4885.807,86862,21358,122.694,56,0.322,15
Poland,Europe,5348182,14089.685,264962,698.037,35768,107757,283.884,1451,3.823,291
Mexico,Americas,5192008,4026.912,57683,44.739,24898,310627,240.922,1455,1.128,743
Indonesia,South-East Asia,4708043,1721.256,261349,95.549,40489,144958,52.997,505,0.185,100
Ukraine,Europe,4462970,10204.863,249295,570.029,41229,102403,234.151,1420,3.247,236
Japan,Western Pacific,3666285,2898.788,658809,520.895,100097,19917,15.748,878,0.694,175
South Africa,Africa,3634811,6128.631,18736,31.591,3169,96705,163.054,1160,1.956,203
Philippines,Western Pacific,3627575,3310.403,42114,38.432,4575,54783,49.993,615,0.561,93
Belgium,Europe,3405839,29558.314,99751,865.711,15,29563,256.569,270,2.343,13
Peru,Americas,3397637,10304.659,111486,338.125,13091,207536,629.434,1316,3.991,224
Czechia,Europe,3363053,31448.216,180735,1690.069,22663,37712,352.648,311,2.908,25
Israel,Europe,3361859,38840.542,271658,3138.544,27723,9429,108.936,285,3.293,25
Canada,Americas,3160017,8372.646,78017,206.711,11139,35118,93.047,906,2.4,149
Portugal,Europe,3025421,29384.691,229591,2229.925,27651,20401,198.147,324,3.147,47
Malaysia,Western Pacific,2975422,9193.049,87642,270.784,19090,32075,99.101,75,0.232,10
Thailand,South-East Asia,2561115,3669.22,85483,122.469,15242,22387,32.073,137,0.196,23
Romania,Europe,2508860,12979.88,183844,951.138,26466,61231,316.786,878,4.542,139
Switzerland,Europe,2505095,28945.183,134165,1550.213,88,12447,143.819,53,0.612,0
Chile,Americas,2504168,13099.716,246163,1287.719,38070,40273,210.675,449,2.349,162
Australia,Western Pacific,2462729,9657.805,175919,689.882,29451,4431,17.377,442,1.733,65
Viet Nam,Western Pacific,2430683,2497.142,126588,130.049,26032,38688,39.746,625,0.642,74
Sweden,Europe,2389605,23138.072,128859,1247.716,15490,16395,158.75,94,0.91,1
Iraq,Eastern Mediterranean,2267745,5638.002,34020,84.58,4220,24626,61.224,171,0.425,26
Austria,Europe,2200664,24723.606,231701,2603.071,36525,13791,154.937,120,1.348,18
Denmark,Europe,2196556,37723.603,309395,5313.543,53747,3977,68.301,166,2.851,29
Greece,Europe,2129153,19864.161,126947,1184.366,19154,24507,228.641,674,6.288,97
Bangladesh,South-East Asia,1899803,1153.567,54975,33.381,5268,28771,17.47,247,0.15,27
Serbia,Europe,1817207,26234.797,86721,1251.981,11121,14234,205.495,427,6.165,63
Hungary,Europe,1695991,17360.013,79145,810.121,11559,42360,433.593,619,6.336,91
Pakistan,Eastern Mediterranean,1474075,667.327,31789,14.391,3914,29648,13.422,276,0.125,47
Georgia,Europe,1418027,35546.874,145656,3651.281,19968,15459,387.524,318,7.972,55
Jordan,Eastern Mediterranean,1417890,13896.613,137784,1350.409,21460,13431,131.636,160,1.568,22
Kazakhstan,Europe,1373047,7312.502,25864,137.745,2581,18736,99.783,136,0.724,20
Republic of Korea,Western Pacific,1239287,2417.216,304637,594.191,53926,7012,13.677,176,0.343,49
Ireland,Europe,1236188,24900.855,36971,744.716,5649,6291,126.721,63,1.269,0
Slovakia,Europe,1207053,22115.813,125124,2292.541,20051,18064,330.971,143,2.62,24
Morocco,Eastern Mediterranean,1151081,3118.568,9373,25.394,0,15698,42.53,183,0.496,0
Cuba,Americas,1057797,9339.038,8391,74.082,1870,8454,74.638,34,0.3,4
Bulgaria,Europe,1025129,14746.913,44727,643.417,6278,34228,492.384,640,9.207,76
Croatia,Europe,1004804,24760.058,41434,1021.003,6341,14329,353.091,340,8.378,48
Lebanon,Eastern Mediterranean,993095,14549.894,44367,650.024,0,9769,143.126,112,1.641,0
Norway,Europe,982643,18307.002,132710,2472.436,20974,1513,28.188,47,0.876,1
Nepal,South-East Asia,972141,3336.47,8022,27.532,666,11878,40.766,84,0.288,14
Tunisia,Eastern Mediterranean,954726,8078.152,24636,208.451,0,26889,227.514,393,3.325,0
Bolivia (Plurinational State of),Americas,878922,7529.516,15247,130.617,1783,21219,181.778,174,1.491,20
Mongolia,Western Pacific,875440,26704.166,20361,621.086,10876,2065,62.99,20,0.61,3
United Arab Emirates,Eastern Mediterranean,864102,8736.773,12565,127.042,1588,2278,23.032,25,0.253,5
Slovenia,Europe,828508,39530.675,64832,3093.335,12126,6522,311.185,44,2.099,1
Belarus,Europe,805651,8526.02,52156,551.955,8463,6204,65.656,105,1.111,14
Lithuania,Europe,797492,28542.101,70323,2516.848,9940,8062,288.538,110,3.937,16
Ecuador,Americas,781470,4429.335,42173,239.035,3871,34854,197.551,282,1.598,50
Uruguay,Americas,749554,21577.785,59058,1700.132,8100,6696,192.761,156,4.491,20
Costa Rica,Americas,745949,14643.34,37389,733.964,6105,7730,151.744,125,2.454,18
Panama,Americas,735235,17039.97,23544,545.661,3028,7898,183.046,125,2.897,12
Azerbaijan,Europe,725777,7158.146,49351,486.736,7632,8972,88.488,175,1.726,24
Saudi Arabia,Eastern Mediterranean,722002,2073.892,22933,65.873,2866,8965,25.751,18,0.052,3
Guatemala,Americas,720802,4023.328,22417,125.126,4720,16542,92.333,121,0.675,15
Sri Lanka,South-East Asia,624545,2916.629,8643,40.363,0,15723,73.427,179,0.836,0
Paraguay,Americas,615911,8635.229,21481,301.169,3018,17751,248.874,325,4.557,47
occupied Palestinian territory including east Jerusalem,Eastern Mediterranean,600128,11763.954,35644,698.708,0,5215,102.227,81,1.588,0
Kuwait,Eastern Mediterranean,593889,13906.548,29154,682.672,3324,2517,58.938,14,0.328,3
Finland,Europe,569973,10315.708,35625,644.762,2829,2170,39.274,2,0.036,0
Dominican Republic,Americas,567085,5227.597,8149,75.12,1223,4339,39.998,24,0.221,3
Myanmar,South-East Asia,541904,995.968,4681,8.603,0,19310,35.49,0,0,0
Venezuela (Bolivarian Republic of),Americas,500545,1760.255,11240,39.527,1008,5511,19.38,49,0.172,7
Latvia,Europe,488329,25598.123,66096,3464.741,11599,4987,261.418,64,3.355,9
Republic of Moldova,Europe,480289,11906.133,19982,495.344,2870,10893,270.032,159,3.942,27
Ethiopia,Africa,467153,406.349,1027,0.893,152,7407,6.443,54,0.047,10
Puerto Rico,Americas,466878,16319.538,5868,205.114,1069,3994,139.609,86,3.006,10
Libya,Eastern Mediterranean,463321,6742.851,21362,310.888,3773,6107,88.877,63,0.917,11
Egypt,Eastern Mediterranean,446308,436.127,13547,13.238,0,23110,22.583,330,0.322,0
Bahrain,Eastern Mediterranean,441825,25965.649,43160,2536.474,0,1418,83.335,8,0.47,0
Singapore,Western Pacific,439640,7514.774,73167,1250.645,10686,882,15.076,22,0.376,1
Estonia,Europe,410210,30866.622,44121,3319.925,5109,2100,158.016,47,3.537,5
Honduras,Americas,403141,4070.237,4864,49.108,812,10587,106.89,36,0.363,28
Armenia,Europe,402403,13579.859,18945,639.335,2676,8145,274.869,70,2.362,31
Bosnia and Herzegovina,Europe,361189,11009.124,8052,245.427,1313,14938,455.314,335,10.211,41
Oman,Eastern Mediterranean,360999,7069.227,14958,292.914,1743,4195,82.148,37,0.725,5
Qatar,Eastern Mediterranean,348924,12110.989,6113,212.179,783,655,22.735,4,0.139,2
Kenya,Africa,322334,599.454,570,1.06,60,5626,10.463,22,0.041,4
Zambia,Africa,308556,1678.398,2209,12.016,506,3935,21.405,10,0.054,1
North Macedonia,Europe,283547,13609.951,9403,451.334,1409,8686,416.919,174,8.352,18
Cyprus,Europe,283458,31920.766,17513,1972.174,2815,776,87.387,26,2.928,1
Albania,Europe,267020,9278.616,4779,166.064,604,3402,118.215,33,1.147,3
Algeria,Africa,260191,593.352,4355,9.931,518,6690,15.256,72,0.164,12
